1		"A1WNG0ZB1DC7R0"_1		s1_p01_v02_s01		43.53@Click the Polygon Lasso tool	57.28@Outline the target with the Polygon Lasso tool
2		"A3PDKI5EE5ZC5B"_2		s1_p01_v02_s01		46.17@Polygonal Lasso Tool	58.24@Highlight the character
3		"ALJH4JVU8FQ6F"_3		s1_p01_v02_s01		45.71@Polygonal Lasso Tool
4		"A1VAO3ODUZEMTU"_4		s1_p01_v02_s02		38.13@defining image
5		"A1WNG0ZB1DC7R0"_5		s1_p01_v02_s02		
6		"A2HT3NVWD0Q8IV"_6		s1_p01_v02_s02		32.12@Cut Tool Which is used to cut an Image
7		"ATIGCUKIPNWG0"_7		s1_p01_v02_s03		17.75@adjustment settings of the image
8		"A1P9Z9WAXHDLNU"_8		s1_p01_v02_s03		
9		"A2T7GY4K6JXGY1"_9		s1_p01_v02_s03		
10		"ATIGCUKIPNWG0"_10		s1_p01_v02_s04		13.06@motion settings
11		"A1WNG0ZB1DC7R0"_11		s1_p01_v02_s04		1.54@In the Filter menu go to Blur then Motion Blur	14.45@Adjust the Motion Blur settings	39.6@Confirm your adjustments
12		"AVRW2T2MJFGQ0"_12		s1_p01_v02_s04		16.36@use motion blur by setting degree
13		"ATIGCUKIPNWG0"_13		s1_p02_v02_s01		39.45@transformation of a image
14		"AD5IKFAK8KN4P"_14		s1_p02_v02_s01		30.08@Filter > Extract
15		"A11BMCWJN78D0M"_15		s1_p02_v02_s01		7.89@coffe
16		"A1WNG0ZB1DC7R0"_16		s1_p02_v02_s02		15.73@Use the brackets to change the size of the tool	25.8@Straddle the edge of the target and the background using the tool
17		"AKAWSE57ZI6D1"_17		s1_p02_v02_s02		
18		"A2HT3NVWD0Q8IV"_18		s1_p02_v02_s02		41@Extract of color in image
19		"AI9WYG457WDW2"_19		s1_p02_v02_s03		14.67@Eraser Tool
20		"A3U832L07QKS6Q"_20		s1_p02_v02_s03		
21		"A2HT3NVWD0Q8IV"_21		s1_p02_v02_s03		22.5@Extract of color of an image
22		"A2HT3NVWD0Q8IV"_22		s1_p02_v03_s01		31.11@layer background color adjustments
23		"A2QX30PEG8W87U"_23		s1_p02_v03_s01		44.58@click on the background	29.36@to use channels
24		"A2NT4EUVRPGP6R"_24		s1_p02_v03_s01		44.16@select background
25		"A1WNG0ZB1DC7R0"_25		s1_p02_v03_s02		22.74@Make sure Channels is checked	36.24@Skim through Red Green and Blue channels for maximum contrast
26		"AE3ML0W24YFNL"_26		s1_p02_v03_s02		8.71@addd layer mask	12.05@click layer	34.97@click blue channels
27		"A2NT4EUVRPGP6R"_27		s1_p02_v03_s02		8.88@add layer mask	23.18@click on windos select channels	28.02@select red green	56.75@select any redblue red
28		"AI9WYG457WDW2"_28		s1_p02_v03_s03		0@RGB Colour
29		"ALJH4JVU8FQ6F"_29		s1_p02_v03_s03		47.47@copy of blue layer
30		"AD5IKFAK8KN4P"_30		s1_p02_v03_s03		48.78@Channel Copy
31		"ATIGCUKIPNWG0"_31		s1_p02_v03_s04		31.92@layer adjustments and copy of the image
32		"AD5IKFAK8KN4P"_32		s1_p02_v03_s04		10.92@Layer channel	4.02@Layer copy	45.37@Select->Load Selection-> Invert channel
33		"A16H1L8IZRCFUZ"_33		s1_p02_v03_s04		
34		"AI9WYG457WDW2"_34		s1_p02_v03_s05		6.58@Color Fill
35		"ATIGCUKIPNWG0"_35		s1_p02_v03_s05		30.64@selection settings in a layer of the image
36		"A2HT3NVWD0Q8IV"_36		s1_p02_v03_s05		22.64@Selection of particular layer
37		"ATIGCUKIPNWG0"_37		s1_p02_v03_s06		21.63@background layer color adjustments
38		"A2HT3NVWD0Q8IV"_38		s1_p02_v03_s06		41.01@Layer Mask
39		"A3J83Y9F2PJ3KA"_39		s1_p02_v03_s06		
40		"A1WNG0ZB1DC7R0"_40		s1_p02_v03_s07		67.93@Press OK to confirm
41		"A2HT3NVWD0Q8IV"_41		s1_p02_v03_s07		17.05@Layer Mask
42		"AXF5SGR6RH25L"_42		s1_p02_v03_s07		
43		"AD5IKFAK8KN4P"_43		s1_p02_v04_s01		52.73@Unlock the layer
