1		A1C25UTNVMVTNM		729		noop		noop		0,2,1		s2_m04_v03_e01		60.38		instruction about apply the talc powder evenly====follow me on tumbler or instagram====Follow me on tumblr and instagram
2		AAKFUMPLS0U6N		729		2		2		0,1,2		s2_m04_v03_e01		60.38		instruction about apply the talc powder evenly====follow me on tumbler or instagram====Follow me on tumblr and instagram
3		AWTJ1X4WZQ7H6		729		0		0		0,1,2		s2_m04_v03_e01		60.38		instruction about apply the talc powder evenly====follow me on tumbler or instagram====Follow me on tumblr and instagram
4		AAKFUMPLS0U6N		730		noop		noop		1,0		s2_m04_v03_e04		337.795		blush====She is Suffering Her skin
5		AWTJ1X4WZQ7H6		730		0		0		1,0		s2_m04_v03_e04		337.795		blush====She is Suffering Her skin
6		A387OFOUJEG6FT		730		0		0		0,1		s2_m04_v03_e04		337.795		blush====She is Suffering Her skin
7		A1EWWOC8QBYU2C		731		2		2		2,0,3,4,1		s2_m04_v03_e05		110.016		put on eyeshadow====add eye lashes====Apply brown color to crease of eye====Apply warm brown eyeshadow in the crease of your eyes====Crease on eye
8		AAKFUMPLS0U6N		731		0		0		2,4,0,1,3		s2_m04_v03_e05		110.016		put on eyeshadow====add eye lashes====Apply brown color to crease of eye====Apply warm brown eyeshadow in the crease of your eyes====Crease on eye
9		AWTJ1X4WZQ7H6		731		3		3		0,2,1,3,4		s2_m04_v03_e05		110.016		put on eyeshadow====add eye lashes====Apply brown color to crease of eye====Apply warm brown eyeshadow in the crease of your eyes====Crease on eye
10		AAKFUMPLS0U6N		732		0		0		2,1,0		s2_m04_v03_e06		118.31		Apply brown color to lower lash line====makeup on outer corner of eye====under eye lashes
11		AWTJ1X4WZQ7H6		732		0		0		2,1,0		s2_m04_v03_e06		118.31		Apply brown color to lower lash line====makeup on outer corner of eye====under eye lashes
12		A387OFOUJEG6FT		732		1		1		2,1,0		s2_m04_v03_e06		118.31		Apply brown color to lower lash line====makeup on outer corner of eye====under eye lashes
13		A1EWWOC8QBYU2C		733		0		0		1,0,2		s2_m04_v03_e08		128.526666667		Using a light color apply to lid====paint eye with white====grving eyes
14		AAKFUMPLS0U6N		733		2		2		2,0,1		s2_m04_v03_e08		128.526666667		Using a light color apply to lid====paint eye with white====grving eyes
